name,url,description
होम,https://agriwelfare.gov.in/,माननीय कृषि एवं किसान कल्याण मंत्री
मुख्य विषयवस्तु पर जाएं,https://agriwelfare.gov.in#skiptomain,माननीय कृषि एवं किसान कल्याण मंत्री
A-,javascript:void(0);,
स्क्रींन रीडर सुलभत,https://agriwelfare.gov.in/en/screenreaderaccess,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
Millets: Seeds of Change,https://artsandculture.google.com/project/millets,How these ancient grains are shaping our future
संगठन सेटअप,https://agriwelfare.gov.in/en/About,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
माननीय मंत्रियों,https://agriwelfare.gov.in/en/Ministers,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
मंत्री कार्यालय,https://agriwelfare.gov.in/en/MinistersOffice,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
कौन क्या है,https://agriwelfare.gov.in/en/who,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
विभाग एक नजर में,https://agriwelfare.gov.in/en/Dept,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
इतिहास,https://agriwelfare.gov.in/en/org_history,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
संपर्क अधिकारी,https://agriwelfare.gov.in/en/OBC_Liaison_Officer,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
प्रभाग,https://agriwelfare.gov.in/en/Division,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
अधिनियम एवं नियम,https://agriwelfare.gov.in/en/Acts,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
समझौता ज्ञापन,https://agriwelfare.gov.in/en/Mou,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
आउटकम बजट,https://agriwelfare.gov.in/en/outBudget,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
अनुदान की मांग,https://agriwelfare.gov.in/en/Demand,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
पीएओ/सीडीडीओ/एनसीडीडीओ की निर्देशिका,https://agriwelfare.gov.in/en/Directory_of_PAOs_CDDOs_and_NCDDOs,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
खाते एक नजर में,https://agriwelfare.gov.in/en/Acc,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
जी20 प्रेसीडेंसी सूचना नोट,https://agriwelfare.gov.in/en/G20OUTCOME,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
वार्षिक रिपोर्ट,https://agriwelfare.gov.in/en/Annual,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
अन्य,https://agriwelfare.gov.in/en/Other,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
सिटीजन चार्टर,https://agriwelfare.gov.in/en/Citizen_Charter,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
फार्म डाउनलोड,https://agriwelfare.gov.in/en/DownloadForms,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
परिणाम फ्रेमवर्क विकास(आरएफडी),https://agriwelfare.gov.in/en/Result,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
प्रस्तुतियाँ,https://agriwelfare.gov.in/en/Presentation,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
परिपत्र / सूचनाएँ,javascript:void();,
किसान कल्याण प्रभाग,https://agriwelfare.gov.in/en/CirFarmWelfare,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
प्लांट का संरक्षण,https://agriwelfare.gov.in/en/PlantProtect,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
जैव उत्तेजक,https://agriwelfare.gov.in/en/CirBiostimulants,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
कृषि आकस्मिकता योजना,https://agriwelfare.gov.in/en/DocAgriContPlan,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
कार्य आवंटन 2018 की हैंडबुक,https://agriwelfare.gov.in/en/Handbook_of_Work_Allocation,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
फसल मौसम निगरानी समूह,https://agriwelfare.gov.in,माननीय कृषि एवं किसान कल्याण मंत्री
जलाशय,https://agriwelfare.gov.in/en/Reservoir,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
वर्षा,https://agriwelfare.gov.in/en/Rain,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
फसल की स्थिति,https://agriwelfare.gov.in/en/CropSituation,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
सीडब्ल्यूडब्ल्यूजी मिनट,https://agriwelfare.gov.in/en/weather-watch,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
संग्रहालय,https://agriwelfare.gov.in/en/docarchive,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
कृषि सांख्यिकी एक नज़र,https://agriwelfare.gov.in/en/Agricultural_Statistics_at_a_Glance,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
न्यूनतम समर्थन मूल्य (एमएसपी),https://desagri.gov.in/statistics-type/latest-minimum-support-price-msp-statement/,"Last updated :
			            08-08-2025, 07:49 AM"
अनुमान,https://agriwelfare.gov.in/en/AgricultureEstimates,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
राज्य स्तर,https://agriwelfare.gov.in/en/StatHortEst,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
प्रकाशन,https://agriwelfare.gov.in/en/PublicationReports,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
रिपोर्ट,https://agriwelfare.gov.in/en/Horticulturereports,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
मैप,http://midh.gov.in/nhmapplication/midhmap/default.aspx,
यूपीएजी,https://upag.gov.in/,"UPAg: A modular, plug & play platform for agri-analytics, providing actionable insights for informed decision-making in agriculture."
किसान कल्याण योजनाएं,https://agriwelfare.gov.in/en/FarmWelfare,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
मंत्रालय की प्रमुख योजनाएं,https://agriwelfare.gov.in/en/Major,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
दिशानिर्देश,https://agriwelfare.gov.in/en/Guide,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
कमोडिटी मार्केट इंटेलिजेंस रिपोर्ट,https://upag.gov.in/primary-estimate-report?tab=Market+Intelligence,"UPAg: A modular, plug & play platform for agri-analytics, providing actionable insights for informed decision-making in agriculture."
कृषि मैपर डैशबोर्ड,https://krishimapper.dac.gov.in/#/MapLogin,Krishi Mapper - Agricultural Mapping Application
एसीएबीसी,https://acabcmis.gov.in/ACABC_dashboard_Chart.aspx,
एआईएफ,https://agriinfra.dac.gov.in/home/dashboardgeotag,
आरकेवीवाई,https://agridashboard.dac.gov.in/Dash2/Rkvy.aspx,
एसएचसी,https://soilhealth.dac.gov.in/piechart,
भर्ती,https://agriwelfare.gov.in/en/recruitmentDetail,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
प्रशिक्षण,https://agriwelfare.gov.in/Internship/Internshiphome,
सम्मेलन,https://agriwelfare.gov.in/en/NationalRabiCampaign,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
गैलरी,https://agriwelfare.gov.in/en/RabiGallery,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
स्वच्छता सन्देश,https://agriwelfare.gov.in/en/SwachhtaMessage,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
ई-पत्रिका,https://agriwelfare.gov.in/en/Magazine,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
नया क्या है,https://agriwelfare.gov.in/en/whatsNew,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
फोटो गैलरी,https://agriwelfare.gov.in/en/Gallery,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
ऑडियो और वीडियो,https://agriwelfare.gov.in/en/videos,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
नई पहल,https://agriwelfare.gov.in/en/Recent,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
सम्मेलन,https://agriwelfare.gov.in/en/Conf,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
निविदा,https://agriwelfare.gov.in/en/Tender,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
रुचि की अभिव्यक्ति,https://agriwelfare.gov.in/en/TenderEOI,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
कृषि अनुसंधान और शिक्षा विभाग,https://agriwelfare.gov.in/en/Dare,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
एफएओ,https://www.fao.org/home/en,FAO Home page.
आईसीआरआईएसएटी,https://www.icrisat.org/,
आईएमडी,https://mausam.imd.gov.in/,"Weather Today: check here live weather forecast, temperature, air quality(AQI) updates along with upcoming week rain status and weather forecast Today. आज का तापमान, तापमान, मौसम, मौसम पूर्वानुमान, ततकाल मौसम जानकारी"
ऍम किसान,https://mkisan.gov.in/,
भारत के कृषि कौशल परिषद,https://asci-india.com/,
कृषि सूचना पोर्टल,https://agridashboard.dac.gov.in/,
लोक सभा,https://agriwelfare.gov.in/en/Lok,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
राज्य सभा,https://agriwelfare.gov.in/en/Rajya,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
एआईएफ,https://agriinfra.dac.gov.in/,Agriculture Infrastructure Financing Facility
कृषि-निवेश,http://agriinvest.dac.gov.in/,
डीबीटी एग्रीकल्चर,https://dbtdacfw.gov.in/,
इंडो-जर्मन एएमडी प्रोजेक्ट,https://amd-india.net,Please see all recent news here.
अर्थशास्त्र और सांख्यिकी निदेशालय,https://eands.da.gov.in/,
कृषि लागत और मूल्य आयोग (सी.ऐ.सी.पि),https://cacp.da.gov.in/,
डीजीसीईएस,https://gces.dac.gov.in/,
जल शक्ति अभियान,https://agriwelfare.gov.in/en/Jal,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
डाउनलोड,https://agriwelfare.gov.in/en/Download,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
Download (341 KB),https://agriwelfare.gov.in/Documents/AIF_Guidelines_English_12Jun24.pdf,
Link,http://agriinfra.dac.gov.in/,
Link,https://pmkisan.gov.in/,
Download (1.91 MB),https://agriwelfare.gov.in/Documents/Revised_guidelinesATMA_2025.pdf,
Link,https://extensionreforms.da.gov.in/DashBoard_Statusatma.aspx,
Download (1.03 MB),https://agriwelfare.gov.in/Documents/Agmarknet_Guidelines.pdf,
Link,http://agmarknet.gov.in/PriceAndArrivals/arrivals1.aspx,
Download (691.68 KB),https://agriwelfare.gov.in/Documents/midh_Guidelines.pdf,
Link,http://midh.gov.in/nhmapplication/feedback/midhKPI.aspx,
Download (1.25 MB),https://agriwelfare.gov.in/Documents/Pesticides_Registration.pdf,
Download (8.89 MB),https://agriwelfare.gov.in/Documents/Quarantine_Guidelinespdf.pdf,
Link,https://pqms.cgg.gov.in/pqms-angular/home,
Download (749.24 KB),https://agriwelfare.gov.in/Documents/Guideline_DBTinAgriculture.pdf,
Link,https://www.dbtdacfw.gov.in/,
Download (244.46 KB),https://agriwelfare.gov.in/Documents/Guidelines_PMKSY.pdf,
Link,https://pmksy.gov.in/mis/frmDashboard.aspx,Pradhan Mantri Krishi Sinchayee Yojana
Link,https://mkisan.gov.in/Home/KCCDashboard,"This Website contains ussd,pull sms, push sms, IVRS,KSEWA,Farmer Registration"
Download (1.24 MB),https://agriwelfare.gov.in/Documents/Jaivik_Kheti_Guidelines.pdf,
Link,https://pgsindia-ncof.gov.in/home.aspx,
Download (459.07 KB),https://agriwelfare.gov.in/Documents/Enamguidelines.pdf,
Link,https://enam.gov.in/,
Download (1.1 MB),https://agriwelfare.gov.in/Documents/Guidelines_Soil%20Health%20Card.pdf,
Link,https://soilhealth.dac.gov.in/,
Download (1.09 MB),https://agriwelfare.gov.in/Documents/PMFBY_Guidelines.pdf,
Link,https://pmfby.gov.in/ext/rpt/ssfr_17,Pradhan Mantri Fasal Bima Yojana (PMFBY) is the government sponsored crop insurance scheme that integrates multiple stakeholders on a single platform.
RTI,https://agriwelfare.gov.in/en/RTIAgri,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
Terms & Condition,https://agriwelfare.gov.in/en/Webpolicy,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
Help,https://agriwelfare.gov.in/en/Helppage,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
Feedback,https://agriwelfare.gov.in/en/feedback,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
Web Information Manager,https://agriwelfare.gov.in/en/Webinformationmanger,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
Sitemap,https://agriwelfare.gov.in/en/sitemap,DA is organized into 27 Divisions and has five attached offices and twenty-one subordinate offices which are spread across the
